Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32336166,"Full Wolf Moon (Jeremy Logan, #5)",Lincoln Child,"Child, Lincoln",,"=""0385531427""","=""9780385531429""",3,3.78,Doubleday,Hardcover,244,2017,2017,2018/12/31,2018/12/31,,,read,,,,1,0
9576890,Гаррі Поттер і філософський камінь,J.K. Rowling,"Rowling, J.K.","Дж. К. Ролінґ, Віктор Морозов, Vladyslav Yerko","=""9667047393""","=""9789667047399""",5,4.47,А-БА-БА-ГА-ЛА-МА-ГА,Hardcover,320,2019,1997,2018/12/22,2018/12/22,,,read,,,,1,0
31331512,Талановитий містер Ріплі,Patricia Highsmith,"Highsmith, Patricia","Патриція Гайсміт, Наталія Гоїн","=""6171215074""","=""9786171215078""",3,3.95,Клуб сімейного дозвілля,Hardcover,320,2016,1955,2018/11/25,2018/11/24,,,read,"Якось важко ""зайшла"" ця книга.",,,1,0
24935061,Поверь своим глазам,Linwood Barclay,"Barclay, Linwood","Линвуд Баркли, Игорь Моничев","=""517081674X""","=""9785170816743""",5,4.11,АСТ,Hardcover,544,2014,2012,2018/11/17,2018/11/17,,,read,"Якби міг, то поставив би цьому роману 6 зірочок. <br/>Одне задоволення читати твори цього автора. <br/>Дуже і дуже сподіваюся, що колись видадуть цю та інші його книги українською.  <br/><br/>P.S.<br/>Якщо будете читати романи цього автора, ніколи, чуєте, ніколи не вірте тому, що написано, адже Барклей/Баркли одним реченням/абзацом/параграфом зруйнує те, що ваш розум собі вже придумав. ",,,1,0
39997093,Бетмен. Книга 2: Місто сов,Scott Snyder,"Snyder, Scott","Greg Capullo, Олена Оксенич","=""9669172446""","=""9789669172440""",5,4.26,Рідна Мова,Hardcover,208,2018,2013,2018/11/08,2018/11/08,,,read,,,,1,0
37748219,Бетмен. Книга 1: Суд сов,Scott Snyder,"Snyder, Scott","Greg Capullo, Jonathan Glapion, Олени Оксенич","=""9669172039""","=""9789669172037""",5,4.34,Рідна мова,Hardcover,176,2017,2012,2018/11/02,2018/11/02,,,read,,,,1,0
38213369,Бетмен: Ноель,Lee Bermejo,"Bermejo, Lee","Лі Бермехо, Олена Оксенич","=""9669172276""","=""9789669172273""",5,4.03,Рідна мова,Hardcover,112,2018,2011,2018/11/01,2018/11/01,,,read,"4 за історію,  <br/>5 за малюнки!",,,1,0
24997498,"Максим Оса (Maxym Osa, #1-2)",Igor Baranko,"Baranko, Igor",Безосібний,"=""""","=""""",5,4.57,Євгеніос,Paperback,96,2011,2008,2018/10/26,2018/10/26,,,read,"Я б прочитав повноцінний детектив за мотивами цього коміксу, навіть незважаючи на помилки.",,,1,0
40383570,The Sandman. Пісочний Чоловік. Книга 2: Ляльковий дім,Neil Gaiman,"Gaiman, Neil","Ніл Ґейман, Олена Оксенич","=""9669172543""","=""9789669172549""",4,4.43,Рідна Мова,Hardcover,256,2018,1990,2018/10/20,2018/10/20,,,read,,,,1,0
42111195,Cтарий Лоґан. Том 1: Берсеркер,Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Сергій Ковальчук","=""9669780802""","=""9789669780805""",4,3.94,Fireclaw,Paperback,96,2018,2016,2018/10/16,2018/09/25,,,read,,,,1,0
37541884,The Sandman. Пісочний Чоловік. Книга 1: Прелюдії й ноктюрни,Neil Gaiman,"Gaiman, Neil","Ніл Ґейман, Олена Оксенич, Михайло Назаренко, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein","=""9669172128""","=""9789669172129""",4,4.25,Рідна Мова,Hardcover,272,2017,1988,2018/10/15,2018/10/15,,,read,,,,1,0
27539149,Огонь и сера,Douglas Preston,"Preston, Douglas",,"=""""","=""""",5,4.15,Азбука,Kindle Edition,537,2014,2004,2018/03/17,2017/07/02,,,read,,,,1,0
39874627,Аеропорт,Arthur Hailey,"Hailey, Arthur","Артур Гейлі, Volodymyr Kuch, Володимир Куч","=""6171250554""","=""9786171250550""",0,4.00,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,544,2018,1968,,2018/10/10,to-read,to-read (#8),to-read,,,,0,0
36071093,"Бартімеус: Амулет Самарканда (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",Володимир Панченко,"=""6175851293""","=""9786175851296""",0,4.04,А-БА-БА-ГА-ЛА-МА-ГА,Hardcover,408,2017,2003,,2018/10/10,to-read,to-read (#7),to-read,,,,0,0
40107021,"Бартімеус: Око ґолема (Bartimaeus, #2)",Jonathan Stroud,"Stroud, Jonathan","Джонатан Страуд, Володимир Панченко, Іван Сулима","=""6175851471""","=""9786175851470""",0,4.12,А-БА-БА-ГА-ЛА-МА-ГА,Hardcover,528,2018,2004,,2018/10/10,to-read,to-read (#6),to-read,,,,0,0
40776186,Керрі,Stephen        King,"King, Stephen","Стівен Кінг, Віталій Ракуленко","=""6171251143""","=""9786171251144""",0,3.99,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,224,2018,1974,,2018/10/10,to-read,to-read (#5),to-read,,,,0,0
35995738,Пульт Ґвенді,Stephen        King,"King, Stephen","Richard  Chizmar, Борис Превір","=""6171239216""","=""9786171239210""",3,3.92,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,160,2017,2017,,2018/04/27,,,read,,,,1,0
38916551,Крейдяна Людина,C.J. Tudor,"Tudor, C.J.",Н.І. Гоїн,"=""6171245445""","=""9786171245440""",5,3.70,Клуб Сімейнойного Дозвілля,Hardcover,288,2018,2018,2018/04/30,2018/04/30,,,read,,,,1,0
35455818,Бетмен: Рік перший,Frank Miller,"Miller, Frank","David Mazzucchelli, Френк Міллер, Девід Маццукеллі, Олена Оксенич","=""9669171768""","=""9789669171764""",4,4.25,Рідна мова,Hardcover,152,2017,1988,2018/06/04,2018/06/04,,,read,,,,1,0
36803846,Відьма,Thomas Olde Heuvelt,"Heuvelt, Thomas Olde",,"=""6177535232""","=""9786177535231""",3,3.72,КМ-Букс,Hardcover,512,2018,2013,2018/06/15,2018/06/15,,,read,"3/5<br/>Як на першу книгу автора, то написано доволі непогано, є цікаві моменти. Але більше як 3 зірки, на мою думку,  книга не заслуговує.  Сподіваюся, що наступні книги будуть кращими.",,,1,0
